Year,County_of_Residence,State,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2017-01-01,"Norfolk city, VA",VA,3410,27.4,38.34,38.67,3204.4,27.39,12.24
2017-01-01,"Missoula County, MT",MT,1138,29.4,38.74,38.92,3306.59,26.29,11.18
2017-01-01,"Unidentified Counties, OR",OR,9979,28.13,38.74,38.92,3342.9,27.55,11.68
2017-01-01,"Jefferson County, NY",NY,2009,26.88,38.65,38.92,3341.5,27.46,11.61
2017-01-01,"Cass County, ND",ND,2534,29.39,38.64,38.92,3331.85,27.22,10.92
2017-01-01,"Onondaga County, NY",NY,5052,29.12,38.71,38.92,3314.24,27.74,12.58
2017-01-01,"Livingston County, MI",MI,1764,30.37,38.61,38.92,3367.12,26.58,14.4
2017-01-01,"Spokane County, WA",WA,5895,28.55,38.61,38.92,3311.36,26.92,11.42
2017-01-01,"Oswego County, NY",NY,1248,27.46,38.68,38.92,3310.42,29.06,12.7
2017-01-01,"King County, WA",WA,25300,31.37,38.76,38.92,3329.03,25.46,11.55
2016-01-01,"Bossier Parish, LA",LA,1751,27.59,38.0,38.16,3179.57,26.84,11.99
2016-01-01,"Ector County, TX",TX,2814,26.12,38.0,38.13,3163.87,26.74,10.08
2016-01-01,"Hamilton County, TN",TN,4293,28.07,38.25,38.24,3209.0,26.53,11.57
2016-01-01,"Brazoria County, TX",TX,4800,28.61,38.25,38.38,3246.82,27.16,10.12
2016-01-01,"Sumner County, TN",TN,2053,28.16,38.25,38.46,3290.22,26.69,10.37
2016-01-01,"Pitt County, NC",NC,2023,27.99,38.25,38.54,3224.2,28.35,12.85
2016-01-01,"Clarke County, GA",GA,1392,28.2,38.25,38.35,3211.45,27.33,10.31
2016-01-01,"Hays County, TX",TX,2502,29.04,38.5,38.66,3287.24,26.63,10.75
2016-01-01,"Montgomery County, TN",TN,3443,26.96,38.5,38.57,3283.09,26.54,10.62
2016-01-01,"El Paso County, CO",CO,9490,28.13,38.5,38.65,3174.07,26.56,9.14
2016-01-01,"Volusia County, FL",FL,5032,27.91,38.5,38.73,3271.01,26.53,11.35
2016-01-01,"Shelby County, AL",AL,2387,29.36,38.5,38.56,3300.62,26.84,10.9
2016-01-01,"Maricopa County, AZ",AZ,54126,28.37,38.5,38.64,3287.15,26.6,11.13
2016-01-01,"Hendricks County, IN",IN,1760,29.45,38.5,38.64,3330.54,27.0,11.92
2016-01-01,"Lycoming County, PA",PA,1222,27.83,38.5,38.79,3322.78,27.17,11.3
2016-01-01,"New Hanover County, NC",NC,2241,29.48,38.5,38.7,3282.77,25.76,12.51
2016-01-01,"Lake County, IN",IN,5657,28.07,38.5,38.53,3263.22,27.9,10.74
2016-01-01,"Leon County, FL",FL,2989,28.49,38.5,38.69,3247.48,26.95,9.28
2016-01-01,"Luzerne County, PA",PA,3193,27.9,38.5,38.69,3259.17,26.81,12.41
2016-01-01,"La Porte County, IN",IN,1305,26.91,38.5,38.6,3256.85,28.02,9.83
2016-01-01,"Hamilton County, IN",IN,3798,31.0,38.5,38.59,3335.15,26.38,13.15
2016-01-01,"Fayette County, PA",PA,1351,27.29,38.5,38.67,3244.88,27.17,12.03
2016-01-01,"Unidentified Counties, ME",ME,4083,27.79,38.75,38.99,3363.28,27.92,12.7
2016-01-01,"San Luis Obispo County, CA",CA,2581,29.58,38.75,38.87,3367.71,26.22,12.45
2016-01-01,"Kootenai County, ID",ID,1754,28.01,38.75,39.03,3353.5,25.91,12.35
2016-01-01,"Middlesex County, MA",MA,17198,31.93,38.75,38.94,3317.14,25.08,12.24
2016-01-01,"Unidentified Counties, MA",MA,959,30.46,39.0,39.08,3372.7,26.35,13.13
2016-01-01,"Centre County, PA",PA,1208,29.83,39.0,39.15,3370.81,25.53,13.13
2016-01-01,"Unidentified Counties, LA",LA,20434,26.48,38.08,38.17,3171.49,28.23,11.58
2016-01-01,"Lee County, FL",FL,6750,28.3,38.33,38.49,3253.85,26.96,10.22
2016-01-01,"Kendall County, IL",IL,1595,30.25,38.33,38.57,3309.74,27.54,12.12
2016-01-01,"Aiken County, SC",SC,1965,27.55,38.33,38.57,3251.39,27.87,11.04
2016-01-01,"Anderson County, SC",SC,2318,26.95,38.33,38.65,3252.36,27.67,11.59
2016-01-01,"Washington County, TN",TN,1292,27.59,38.33,38.39,3260.67,26.85,10.42
2016-01-01,"Weber County, UT",UT,3876,27.66,38.33,38.55,3238.52,26.67,10.84
2016-01-01,"Okaloosa County, FL",FL,2784,27.78,38.33,38.54,3285.74,26.11,11.39
2016-01-01,"St. Louis County, MO",MO,11692,29.51,38.33,38.45,3244.18,26.5,11.39
2016-01-01,"Jefferson County, KY",KY,9889,28.3,38.33,38.61,3232.47,27.13,11.59
2016-01-01,"Santa Fe County, NM",NM,1290,28.73,38.58,38.75,3098.1,25.68,9.32
2016-01-01,"Broome County, NY",NY,1985,28.33,38.58,38.83,3316.19,27.75,11.49
2016-01-01,"St. Johns County, FL",FL,2120,30.29,38.58,38.82,3338.62,25.66,10.79
2016-01-01,"San Juan County, NM",NM,1726,27.26,38.58,38.48,3226.53,27.62,9.42
2016-01-01,"Ingham County, MI",MI,3414,28.35,38.58,38.81,3269.07,27.37,13.25
2016-01-01,"Allen County, IN",IN,5151,27.97,38.58,38.63,3255.33,27.49,11.85
2016-01-01,"Atlantic County, NJ",NJ,2836,29.06,38.58,38.71,3270.34,27.09,10.16
2016-01-01,"Washington County, PA",PA,2044,28.79,38.58,38.79,3318.58,26.43,11.41
2016-01-01,"Loudoun County, VA",VA,5335,31.61,38.58,38.79,3311.53,25.25,12.24
2016-01-01,"Miami County, OH",OH,1227,27.73,38.58,38.78,3347.35,26.58,12.15
2016-01-01,"Unidentified Counties, IA",IA,22392,28.01,38.58,38.86,3367.37,27.42,11.83
2016-01-01,"Merced County, CA",CA,4117,27.61,38.58,38.76,3317.11,28.61,10.41
2016-01-01,"Schenectady County, NY",NY,1770,29.06,38.58,38.76,3280.83,28.29,11.88
2016-01-01,"Berks County, PA",PA,4786,27.95,38.58,38.76,3280.59,26.78,15.06
2016-01-01,"Kern County, CA",CA,13728,27.5,38.58,38.67,3290.64,27.48,10.94
2016-01-01,"Lebanon County, PA",PA,1592,27.95,38.58,38.67,3286.55,26.57,11.78
2016-01-01,"Jefferson County, CO",CO,6104,30.39,38.83,38.83,3234.17,25.39,10.54
2016-01-01,"Sonoma County, CA",CA,4962,30.24,38.83,38.98,3361.14,26.71,11.39
2016-01-01,"Multnomah County, OR",OR,9081,30.63,38.83,38.97,3349.46,25.95,11.55
2016-01-01,"Clark County, WA",WA,5665,28.91,38.83,38.88,3356.59,26.52,11.08
2016-01-01,"Berkshire County, MA",MA,1027,29.19,38.83,38.87,3273.61,26.37,11.49
2016-01-01,"Clark County, OH",OH,1532,26.17,38.16,38.41,3252.96,28.03,10.39
2016-01-01,"Taylor County, TX",TX,2037,26.85,38.16,38.32,3221.37,26.97,9.64
2016-01-01,"Florence County, SC",SC,1657,27.47,38.16,38.23,3117.41,28.2,12.05
2016-01-01,"Madison County, IL",IL,3051,28.08,38.41,38.57,3276.59,27.9,10.81
2016-01-01,"Johnson County, TX",TX,2100,27.12,38.41,38.65,3324.37,27.27,9.64
2016-01-01,"Peoria County, IL",IL,2536,27.78,38.41,38.55,3265.79,27.91,11.49
2016-01-01,"St. Lucie County, FL",FL,2999,28.41,38.41,38.63,3245.15,27.13,10.12
2016-01-01,"Hawaii County, HI",HI,2349,28.56,38.41,38.71,3227.47,26.54,9.94
2016-01-01,"Hampton city, VA",VA,1727,27.66,38.41,38.62,3235.61,27.95,11.57
2016-01-01,"Philadelphia County, PA",PA,21506,28.4,38.41,38.45,3174.81,26.81,10.07
2016-01-01,"DeKalb County, IL",IL,1093,28.85,38.41,38.7,3301.27,27.89,11.89
2016-01-01,"Champaign County, IL",IL,2395,28.9,38.41,38.53,3274.38,27.32,12.69
2016-01-01,"DeKalb County, GA",GA,11060,29.37,38.41,38.44,3177.3,26.48,10.35
2016-01-01,"Denton County, TX",TX,10195,29.68,38.41,38.51,3282.78,26.06,10.65
2016-01-01,"Unidentified Counties, MI",MI,21808,27.6,38.66,38.9,3344.6,27.76,11.62
2016-01-01,"Carroll County, MD",MD,1737,29.91,38.66,38.88,3343.68,26.35,10.01
2016-01-01,"St. Louis County, MN",MN,1976,28.62,38.66,38.88,3347.92,27.08,11.63
2016-01-01,"Jackson County, OR",OR,2294,28.06,38.66,38.87,3344.44,26.56,11.16
2016-01-01,"Kennebec County, ME",ME,1164,27.86,38.66,38.94,3360.34,28.27,13.02
2016-01-01,"Bibb County, GA",GA,2191,26.8,37.91,38.39,3065.96,27.63,11.31
2016-01-01,"Clayton County, GA",GA,3809,27.61,38.24,38.5,3115.83,28.68,9.42
2016-01-01,"Chatham County, GA",GA,3975,28.16,38.24,38.38,3178.28,27.85,9.88
2016-01-01,"Baltimore city, MD",MD,8504,27.98,38.24,38.38,3136.78,27.79,9.76
2016-01-01,"Unidentified Counties, KY",KY,34379,26.58,38.24,38.53,3263.57,27.79,11.69
2016-01-01,"Douglas County, KS",KS,1177,29.39,38.49,38.5,3300.38,26.63,11.91
2016-01-01,"Lake County, OH",OH,2163,28.9,38.49,38.66,3289.19,26.76,11.21
2016-01-01,"St. Clair County, MI",MI,1589,27.71,38.49,38.74,3306.29,27.62,11.28
2016-01-01,"Rock County, WI",WI,2003,27.91,38.49,38.74,3327.5,28.35,11.63
2016-01-01,"Jackson County, MO",MO,9408,27.91,38.49,38.56,3247.12,27.19,10.8
2016-01-01,"Waukesha County, WI",WI,4008,30.77,38.49,38.72,3353.59,26.05,13.1
2016-01-01,"Washington County, UT",UT,2210,28.15,38.49,38.61,3319.08,25.38,10.24
2016-01-01,"Lackawanna County, PA",PA,2246,28.74,38.49,38.68,3264.98,26.51,11.2
2016-01-01,"Suffolk County, NY",NY,15559,30.53,38.49,38.67,3277.25,26.74,10.76
2016-01-01,"Montgomery County, TX",TX,7347,28.53,38.49,38.67,3309.24,26.33,10.31
2016-01-01,"Saratoga County, NY",NY,2210,30.55,38.74,38.98,3364.75,26.98,12.22
2016-01-01,"Pierce County, WA",WA,11756,28.45,38.74,38.95,3353.39,27.24,11.19
2016-01-01,"Boulder County, CO",CO,2729,31.16,38.74,38.77,3200.41,24.63,10.31
2016-01-01,"Ramsey County, MN",MN,7731,29.38,38.74,38.93,3301.15,27.02,11.02
2016-01-01,"Hidalgo County, TX",TX,14982,26.77,37.99,38.14,3191.8,27.89,10.74
2016-01-01,"East Baton Rouge Parish, LA",LA,6125,27.93,38.07,38.13,3149.74,28.05,10.3
2016-01-01,"Kane County, IL",IL,6710,29.44,38.32,38.5,3297.78,27.55,11.13
2016-01-01,"Racine County, WI",WI,2417,28.07,38.32,38.58,3266.11,28.64,11.66
2016-01-01,"Cuyahoga County, OH",OH,14758,28.41,38.32,38.48,3171.25,27.33,11.54
2016-01-01,"Comanche County, OK",OK,1757,26.62,38.32,38.45,3249.2,26.82,10.94
2016-01-01,"Fayette County, KY",KY,4090,29.0,38.32,38.51,3247.12,26.43,12.12
2016-01-01,"Riverside County, CA",CA,30661,28.59,38.57,38.66,3292.17,26.92,11.49
2016-01-01,"Gloucester County, NJ",NJ,2837,30.14,38.57,38.74,3321.92,27.34,10.44
2016-01-01,"Allegheny County, PA",PA,13164,29.78,38.57,38.74,3262.77,26.17,12.56
2016-01-01,"Union County, NC",NC,2415,29.39,38.57,38.81,3310.62,26.9,13.05
2016-01-01,"Franklin County, PA",PA,1875,27.98,38.57,38.71,3314.87,26.79,11.25
2016-01-01,"Mohave County, AZ",AZ,1802,26.55,38.57,38.77,3266.55,26.95,10.76
2016-01-01,"Anne Arundel County, MD",MD,6967,30.09,38.57,38.77,3303.94,26.64,9.86
2016-01-01,"Berkeley County, WV",WV,1393,27.53,38.57,38.84,3314.59,27.7,11.28
2016-01-01,"Blair County, PA",PA,1270,27.76,38.82,39.07,3334.55,27.09,11.25
2016-01-01,"Cumberland County, ME",ME,2830,30.64,38.82,38.98,3373.28,26.48,12.72
2016-01-01,"Minnehaha County, SD",SD,2937,28.7,38.82,38.81,3339.69,26.48,11.4
2016-01-01,"Skagit County, WA",WA,1515,28.54,38.82,38.92,3393.04,27.61,10.02
2016-01-01,"Rutherford County, TN",TN,4130,28.32,38.15,38.24,3245.59,27.01,10.92
2016-01-01,"Richland County, SC",SC,4810,28.58,38.15,38.19,3180.48,28.13,11.34
2016-01-01,"Muscogee County, GA",GA,2912,27.26,38.15,38.35,3158.87,27.33,11.21
2016-01-01,"Wyandotte County, KS",KS,2695,27.02,38.4,38.33,3213.99,27.89,10.27
2016-01-01,"Winnebago County, IL",IL,3711,27.76,38.4,38.58,3262.8,28.34,12.88
2016-01-01,"McHenry County, IL",IL,3090,29.94,38.4,38.57,3331.86,26.81,11.86
2016-01-01,"Trumbull County, OH",OH,2101,27.16,38.4,38.57,3235.54,27.37,12.27
2016-01-01,"Pueblo County, CO",CO,1883,27.1,38.4,38.48,3153.6,27.54,10.35
2016-01-01,"Essex County, NJ",NJ,10442,29.92,38.4,38.48,3208.11,26.85,9.65
2016-01-01,"Bernalillo County, NM",NM,7574,28.29,38.4,38.56,3184.83,26.43,9.63
2016-01-01,"Blount County, TN",TN,1229,27.23,38.4,38.63,3301.4,26.74,12.99
2016-01-01,"Lake County, FL",FL,3269,27.91,38.4,38.51,3273.35,27.16,9.83
2016-01-01,"Delaware County, OH",OH,2079,31.27,38.65,38.83,3364.47,25.11,11.31
2016-01-01,"Albany County, NY",NY,3045,29.89,38.65,38.74,3310.63,27.25,11.49
2016-01-01,"Contra Costa County, CA",CA,12340,30.68,38.65,38.82,3327.74,26.68,11.73
2016-01-01,"Faulkner County, AR",AR,1534,27.2,38.65,38.73,3336.01,26.58,11.09
2016-01-01,"Unidentified Counties, CO",CO,8880,28.68,38.65,38.73,3174.96,25.95,10.17
2016-01-01,"Martin County, FL",FL,1273,29.17,38.65,38.81,3281.01,26.06,11.08
2016-01-01,"Ada County, ID",ID,5045,29.43,38.65,38.81,3340.88,25.84,12.01
2016-01-01,"Coconino County, AZ",AZ,1612,28.09,38.65,38.72,3245.92,26.53,11.03
2016-01-01,"New London County, CT",CT,2647,29.54,38.65,38.79,3335.05,26.98,12.58
2016-01-01,"Unidentified Counties, WI",WI,21572,28.57,38.65,38.87,3382.45,27.88,11.59
2016-01-01,"Adams County, CO",CO,6672,28.49,38.65,38.77,3206.25,27.16,10.07
2016-01-01,"Sarasota County, FL",FL,2926,28.69,38.65,38.85,3319.25,25.74,11.7
2016-01-01,"Dane County, WI",WI,6052,30.58,38.65,38.85,3339.76,26.03,12.38
2016-01-01,"Shasta County, CA",CA,2048,28.03,38.65,38.76,3322.05,26.46,10.88
2016-01-01,"Craven County, NC",NC,1438,26.92,38.65,38.84,3286.77,27.16,12.53
2016-01-01,"Butte County, CA",CA,2490,28.5,38.9,39.03,3373.08,27.0,11.02
2016-01-01,"Genesee County, MI",MI,4819,27.1,38.23,38.47,3206.53,27.65,11.78
2016-01-01,"Fort Bend County, TX",TX,9976,30.59,38.23,38.37,3222.17,25.93,9.79
2016-01-01,"Ascension Parish, LA",LA,1751,28.34,38.23,38.26,3224.2,28.04,10.82
2016-01-01,"Johnston County, NC",NC,2336,28.38,38.48,39.0,3292.53,27.87,12.3
2016-01-01,"Dona Ana County, NM",NM,2839,26.68,38.48,38.66,3226.16,27.23,10.36
2016-01-01,"Pasco County, FL",FL,5108,28.49,38.48,38.74,3275.61,26.37,11.37
2016-01-01,"Washington County, MD",MD,1694,28.02,38.48,38.64,3254.73,27.38,11.44
2016-01-01,"Dauphin County, PA",PA,3437,28.25,38.48,38.64,3248.22,26.91,10.05
2016-01-01,"Collier County, FL",FL,3322,29.11,38.48,38.63,3300.36,26.58,9.67
2016-01-01,"Bartow County, GA",GA,1338,27.26,38.48,38.87,3307.74,28.34,12.35
2016-01-01,"Stark County, OH",OH,4236,27.76,38.48,38.7,3281.94,27.28,10.63
2016-01-01,"Iredell County, NC",NC,1923,28.31,38.48,38.78,3271.8,27.13,11.77
2016-01-01,"Tulare County, CA",CA,7146,27.49,38.48,38.69,3306.7,27.98,11.74
2016-01-01,"Sarpy County, NE",NE,2464,29.42,38.48,38.68,3355.35,26.67,12.03
2016-01-01,"Unidentified Counties, CA",CA,10512,28.18,38.73,38.89,3335.9,27.18,11.34
2016-01-01,"Montgomery County, PA",PA,8695,30.95,38.73,38.88,3323.52,25.72,11.15
2016-01-01,"Unidentified Counties, NJ",NJ,1479,28.61,38.73,38.85,3340.33,26.72,10.49
2016-01-01,"Orange County, NY",NY,4993,29.35,38.73,38.93,3295.74,26.65,10.3
2016-01-01,"Deschutes County, OR",OR,1806,29.53,38.98,38.95,3306.82,25.56,11.28
2016-01-01,"Unidentified Counties, MS",MS,26371,26.34,37.98,38.16,3135.99,28.58,11.72
2016-01-01,"Spartanburg County, SC",SC,3690,27.42,38.31,38.5,3253.52,27.62,11.85
2016-01-01,"Unidentified Counties, OK",OK,24202,26.32,38.31,38.49,3283.67,27.72,10.47
2016-01-01,"Cleveland County, OK",OK,3016,28.4,38.31,38.4,3303.73,26.84,10.97
2016-01-01,"Broward County, FL",FL,22563,30.02,38.31,38.39,3193.61,26.09,10.47
2016-01-01,"Sumter County, SC",SC,1375,27.03,38.31,38.37,3185.7,29.16,10.83
2016-01-01,"El Paso County, TX",TX,13073,26.7,38.31,38.44,3169.92,26.58,9.7
2016-01-01,"Unidentified Counties, TX",TX,59168,26.53,38.31,38.44,3246.56,27.59,10.43
2016-01-01,"Cache County, UT",UT,2286,27.98,38.31,38.44,3283.52,26.02,11.5
2016-01-01,"Rowan County, NC",NC,1651,27.01,38.31,38.51,3188.09,27.45,11.2
2016-01-01,"Unidentified Counties, VA",VA,38748,28.08,38.56,38.75,3282.03,27.71,11.54
2016-01-01,"Los Angeles County, CA",CA,123092,29.9,38.56,38.66,3260.01,26.16,11.99
2016-01-01,"Yakima County, WA",WA,3935,27.35,38.56,38.66,3304.31,28.28,11.46
2016-01-01,"Pickens County, SC",SC,1225,27.14,38.56,38.74,3296.42,27.45,13.51
2016-01-01,"Citrus County, FL",FL,1064,26.83,38.56,38.72,3312.99,26.95,10.12
2016-01-01,"Bronx County, NY",NY,21161,28.9,38.56,38.63,3198.5,27.02,10.86
2016-01-01,"San Joaquin County, CA",CA,10268,28.49,38.56,38.71,3292.64,27.53,12.55
2016-01-01,"District of Columbia, DC",DC,9858,30.24,38.56,38.62,3207.44,25.78,10.34
2016-01-01,"Unidentified Counties, ID",ID,10644,27.41,38.56,38.7,3284.28,26.6,10.99
2016-01-01,"Fairfax County, VA",VA,14525,31.52,38.56,38.7,3285.91,25.36,11.86
2016-01-01,"Pinellas County, FL",FL,8480,28.92,38.56,38.78,3270.94,26.12,11.15
2016-01-01,"Cherokee County, GA",GA,2700,29.51,38.56,38.78,3328.18,26.32,12.64
2016-01-01,"Sussex County, DE",DE,2301,28.05,38.56,38.6,3284.19,27.15,10.04
2016-01-01,"Delaware County, PA",PA,6575,30.15,38.56,38.6,3268.95,26.22,9.86
2016-01-01,"Mecklenburg County, NC",NC,14881,29.56,38.56,38.68,3225.91,26.07,12.69
2016-01-01,"Kalamazoo County, MI",MI,3163,28.12,38.81,38.9,3334.13,27.69,14.76
2016-01-01,"Kitsap County, WA",WA,3147,28.49,38.81,38.72,3402.53,26.77,10.32
2016-01-01,"Ocean County, NJ",NJ,8566,29.27,38.81,39.13,3336.36,24.93,10.78
2016-01-01,"King County, WA",WA,26022,31.24,38.81,38.96,3333.74,25.41,11.41
2016-01-01,"Lane County, OR",OR,3554,28.71,38.81,38.94,3353.75,26.82,11.96
2016-01-01,"Wayne County, OH",OH,1487,28.14,38.81,38.93,3387.66,26.95,10.32
2016-01-01,"Allen County, OH",OH,1257,26.96,38.14,38.15,3229.75,28.28,11.73
2016-01-01,"Calcasieu Parish, LA",LA,3034,26.58,38.14,38.39,3173.54,26.98,10.23
2016-01-01,"Mahoning County, OH",OH,2506,27.73,38.14,38.39,3182.4,27.13,12.83
2016-01-01,"Rankin County, MS",MS,1802,27.93,38.14,38.28,3259.23,28.04,13.16
2016-01-01,"Unidentified Counties, IL",IL,22481,27.41,38.39,38.66,3296.73,27.92,12.11
2016-01-01,"Collin County, TX",TX,11086,30.53,38.39,38.49,3274.41,25.57,11.21
2016-01-01,"Lafayette Parish, LA",LA,3369,27.84,38.39,38.65,3267.51,26.54,14.71
2016-01-01,"Macomb County, MI",MI,9416,29.11,38.39,38.56,3253.58,27.11,12.73
2016-01-01,"Davis County, UT",UT,5698,29.02,38.39,38.55,3273.54,25.63,11.46
2016-01-01,"Forsyth County, NC",NC,4496,28.48,38.39,38.79,3220.16,27.06,14.47
2016-01-01,"Chesapeake city, VA",VA,2877,28.82,38.39,38.84,3282.87,27.07,12.58
2016-01-01,"Stanislaus County, CA",CA,7862,28.12,38.64,38.82,3323.59,27.91,12.09
2016-01-01,"Cass County, ND",ND,2639,29.3,38.64,38.9,3355.09,27.1,10.92
2016-01-01,"Unidentified Counties, MN",MN,23295,28.55,38.64,38.81,3381.42,27.77,11.33
2016-01-01,"Westmoreland County, PA",PA,2939,28.99,38.64,38.87,3302.86,26.8,12.72
2016-01-01,"Marathon County, WI",WI,1635,28.88,38.64,38.78,3362.92,28.64,11.35
2016-01-01,"Richmond County, NY",NY,5464,30.49,38.64,38.77,3265.67,25.81,12.86
2016-01-01,"Fairfield County, CT",CT,10064,31.3,38.64,38.76,3297.4,25.56,12.09
2016-01-01,"Merrimack County, NH",NH,1284,29.45,38.89,39.06,3379.21,27.12,12.11
2016-01-01,"Olmsted County, MN",MN,2122,29.95,38.89,39.03,3373.77,26.62,9.19
2016-01-01,"Bexar County, TX",TX,27968,27.89,38.22,38.33,3216.37,27.47,10.93
2016-01-01,"Houston County, GA",GA,1956,27.77,38.22,38.57,3224.88,27.86,10.85
2016-01-01,"Escambia County, FL",FL,3967,27.33,38.22,38.45,3211.61,27.39,10.36
2016-01-01,"Orleans Parish, LA",LA,4835,28.75,38.22,38.36,3141.12,26.97,10.7
2016-01-01,"Sangamon County, IL",IL,2245,28.38,38.22,38.42,3221.97,27.43,11.48
2016-01-01,"Sebastian County, AR",AR,1721,26.67,38.47,38.58,3286.63,27.95,9.25
2016-01-01,"Adams County, PA",PA,922,28.19,38.47,38.74,3300.06,27.58,11.48
2016-01-01,"Yavapai County, AZ",AZ,1868,27.47,38.47,38.64,3238.14,26.41,11.55
2016-01-01,"Unidentified Counties, MO",MO,30617,27.0,38.47,38.64,3292.23,27.28,11.12
2016-01-01,"Salt Lake County, UT",UT,17612,28.92,38.47,38.64,3261.03,26.13,10.93
2016-01-01,"San Bernardino County, CA",CA,31032,28.25,38.47,38.55,3261.33,26.96,11.34
2016-01-01,"Portage County, OH",OH,1441,28.69,38.47,38.68,3289.68,26.74,11.98
2016-01-01,"Unidentified Counties, OR",OR,10471,28.05,38.72,38.9,3343.65,27.28,11.6
2016-01-01,"Norfolk County, MA",MA,7341,32.18,38.72,38.89,3329.26,24.97,11.92
2016-01-01,"Chester County, PA",PA,5325,30.77,38.72,38.89,3354.86,25.31,9.79
2016-01-01,"New York County, NY",NY,17587,32.16,38.72,38.8,3237.02,23.75,11.34
2016-01-01,"Hennepin County, MN",MN,16495,30.57,38.72,38.88,3317.99,26.42,11.76
2016-01-01,"Linn County, OR",OR,1521,27.51,38.72,39.04,3375.32,27.92,11.5
2016-01-01,"Unidentified Counties, NY",NY,18322,28.07,38.72,38.95,3347.63,27.97,11.73
2016-01-01,"Middlesex County, CT",CT,1277,31.22,38.72,38.86,3364.96,26.25,12.99
2016-01-01,"Unidentified Counties, PA",PA,16421,27.59,38.72,38.94,3326.89,27.37,11.45
2016-01-01,"Northampton County, PA",PA,2831,29.29,38.72,38.84,3287.3,26.71,12.1
2016-01-01,"Duval County, FL",FL,13292,28.14,38.3,38.5,3207.61,27.16,9.72
2016-01-01,"Nueces County, TX",TX,4738,27.1,38.3,38.33,3235.12,27.62,8.93
2016-01-01,"Henry County, GA",GA,2511,28.55,38.3,38.66,3203.98,27.54,11.22
2016-01-01,"Unidentified Counties, AR",AR,21443,26.02,38.3,38.49,3234.79,27.66,10.32
2016-01-01,"Comal County, TX",TX,1448,28.66,38.3,38.39,3279.58,26.56,10.38
2016-01-01,"Lexington County, SC",SC,3264,28.35,38.3,38.22,3290.36,27.57,11.91
2016-01-01,"Clark County, IN",IN,1448,27.6,38.3,38.55,3250.96,28.05,10.88
2016-01-01,"Lucas County, OH",OH,5627,27.54,38.3,38.46,3220.04,27.53,10.94
2016-01-01,"Charlotte County, FL",FL,1037,27.64,38.3,38.29,3197.55,26.39,10.13
2016-01-01,"Passaic County, NJ",NJ,6842,29.26,38.3,38.45,3220.4,26.71,10.98
2016-01-01,"Muskegon County, MI",MI,2127,26.92,38.3,38.6,3231.02,27.71,10.1
2016-01-01,"Montgomery County, OH",OH,6631,27.63,38.3,38.43,3234.98,27.46,11.61
2016-01-01,"Oneida County, NY",NY,2497,28.04,38.55,38.75,3316.49,27.58,12.07
2016-01-01,"Providence County, RI",RI,7275,28.8,38.55,38.74,3263.44,26.74,12.06
2016-01-01,"Nassau County, NY",NY,14329,31.48,38.55,38.73,3261.33,25.75,11.49
2016-01-01,"Jasper County, MO",MO,1669,26.43,38.55,38.63,3329.79,27.23,11.35
2016-01-01,"Carroll County, GA",GA,1615,26.61,38.55,38.7,3259.19,27.48,11.0
2016-01-01,"Burlington County, NJ",NJ,4419,30.23,38.55,38.7,3305.61,26.8,10.81
2016-01-01,"Monmouth County, NJ",NJ,5960,31.18,38.55,38.78,3293.22,25.58,11.17
2016-01-01,"Kent County, MI",MI,8811,28.63,38.55,38.77,3322.47,27.27,11.9
2016-01-01,"Union County, NJ",NJ,6756,30.56,38.55,38.67,3275.38,26.69,10.09
2016-01-01,"Washington County, OR",OR,6983,30.21,38.8,38.86,3331.61,26.19,11.25
2016-01-01,"Harrison County, MS",MS,2790,27.36,38.13,38.25,3190.41,27.29,12.82
2016-01-01,"Ashtabula County, OH",OH,1075,26.99,38.38,38.66,3241.44,27.62,9.69
2016-01-01,"Clark County, NV",NV,27388,28.5,38.38,38.57,3220.08,26.36,11.92
2016-01-01,"Marion County, IN",IN,14294,27.93,38.38,38.48,3227.82,27.86,11.56
2016-01-01,"Greene County, OH",OH,1808,28.82,38.38,38.56,3310.43,26.93,11.86
2016-01-01,"Orange County, FL",FL,16653,29.13,38.38,38.39,3231.74,26.34,9.75
2016-01-01,"Cecil County, MD",MD,1106,28.04,38.38,38.62,3315.62,27.77,11.11
2016-01-01,"Alachua County, FL",FL,2862,29.0,38.38,38.53,3216.7,26.84,11.0
2016-01-01,"Bonneville County, ID",ID,1910,27.53,38.38,38.36,3238.46,26.69,11.88
2016-01-01,"Clay County, FL",FL,2209,27.96,38.38,38.61,3264.68,26.59,10.22
2016-01-01,"Unidentified Counties, NC",NC,31354,27.17,38.38,38.61,3233.62,27.86,12.1
2016-01-01,"Navajo County, AZ",AZ,1497,27.12,38.38,38.52,3195.04,28.03,9.98
2016-01-01,"Penobscot County, ME",ME,1483,28.26,38.63,38.75,3374.66,27.84,13.07
2016-01-01,"Butler County, PA",PA,1833,29.54,38.63,38.83,3343.03,26.02,12.21
2016-01-01,"Bristol County, MA",MA,5643,29.29,38.63,38.81,3281.29,26.75,12.19
2016-01-01,"Lehigh County, PA",PA,4253,28.6,38.63,38.78,3278.08,26.65,12.42
2016-01-01,"Kanawha County, WV",WV,1968,27.22,37.88,38.15,3206.45,27.54,11.79
